ident,iata_code
DAAE,BJA
DAAG,ALG
DAAJ,DJG
DAAP,VVZ
DAAS,QSF
DAAT,TMR
DAAV,GJL
DAAY,MZW
DABB,AAE
DABC,CZL
DABO,QMH
DABP,SKI
DABS,TEE
DABT,BLJ
DAF,DAF
DAFH,HRM
DAFI,QDJ
DAO,DAO
DAOB,TID
DAOF,TIN
DAOI,CFK
DAOL,TAF
DAON,TLM
DAOO,ORN
DAOR,CBH
DAOS,BFW
DAOV,MUW
DAOY,EBH
DATG,INF
DATM,BMW
DAUA,AZR
DAUB,BSK
DAUE,ELG
DAUG,GHA
DAUH,HME
DAUI,INZ
DAUK,TGR
DAUL,LOO
DAUO,ELU
DAUT,TMX
DAUU,OGX
DAUZ,IAM
DBBB,COO
DBBD,DJA
DBBK,KDC
DBBN,NAE
DBBP,PKO
DBBS,SVF
DBC,DBC
DBK,DBK
DBP,DBP
DBU,DBU
DCG,DCG
DCK,DCK
DCR,DCR
DDM,DDM
DE-0419,HDB
DE-0428,PHM
DE-0429,PHM
DER,DER
DEX,DEX
DFCA,XKY
DFCC,OUG
DFCJ,XDJ
DFCL,XLU
DFCP,PUP
DFEA,XBO
DFEB,XBG
DFED,DIP
DFEE,DOR
DFEF,FNG
DFEG,XGG
DFEL,XKA
DFEM,TMQ
DFEP,XPA
DFER,ARL
DFES,XSE
DFET,TEG
DFEZ,XZA
DFFD,OUA
DFOB,BNR
DFOD,DGU
DFOG,XGA
DFON,XNU
DFOO,BOY
DFOT,TUQ
DFOU,XDE
DFOY,XAR
DGAA,ACC
DGG,DGG
DGLE,TML
DGM,DGM
DGSI,KMS
DGSN,NYI
DGTK,TKD
DHB,DHB
DHG,DHG
DIAO,ABO
DIAP,ABJ
DIAU,OGO
DIBI,BXI
DIBK,BYK
DIBN,BQO
DIBU,BDK
DIDK,DIM
DIDL,DJO
DIFK,FEK
DIGA,GGN
DIGL,GGO
DIGN,BBV
DIKO,HGO
DIMN,MJC
DIOD,KEO
DIOF,OFI
DISG,SEO
DISP,SPY
DISS,ZSS
DITB,TXU
DITN,TOZ
DIW,DIW
DIYO,ASK
DLR,DLR
DN57,DKA
DNAA,ABV
DNAI,QUO
DNAK,AKR
DNAS,ABB
DNBC,BCU
DNBE,BNI
DNCA,CBQ
DNEN,ENU
DNIB,IBA
DNIL,ILR
DNIM,QOW
DNJO,JOS
DNKA,KAD
DNKN,KAN
DNMA,MIU
DNMK,MDI
DNMM,LOS
DNMN,MXJ
DNPO,PHC
DNSO,SKO
DNYO,YOL
DNZA,ZAR
DOO,DOO
DOS,DOS
DPK,DPK
DPT,DPT
DPU,DPU
DQA,DQA
DRRM,MFQ
DRRN,NIM
DRRT,THZ
DRZA,AJY
DRZL,RLT
DRZR,ZND
DSG,DSG
DTKA,TBJ
DTMB,MIR
DTTA,TUN
DTTF,GAF
DTTG,GAE
